1-комн. квартира, 30,16 м², 3/23 этаж;1;30,16;3/23;Республика Татарстан;Казань;р-н Советский;;;6 840 000 ;299839568;5
1-комн. квартира, 47,2 м², 8/9 этаж;1;47,2;8/9;Республика Татарстан;Казань;р-н Советский;м. Суконная слобода;;7 000 000 ;300721595;5
1-комн. квартира, 26,8 м², 5/20 этаж;1;26,8;5/20;Республика Татарстан;Казань;р-н Приволжский;мкр. Теплоконтроль;м. Аметьево;6 860 000 ;300560794;5
1-комн. квартира, 38,14 м², 2/23 этаж;1;38,14;2/23;Республика Татарстан;Казань;р-н Советский;;;7 960 000 ;300720439;6
1-комн. квартира, 43,5 м², 9/10 этаж;1;43,5;9/10;Республика Татарстан;Казань;р-н Приволжский;мкр. Солнечный;м. Горки;7 150 000 ;300720439;6
1-комн. квартира, 38,73 м², 3/10 этаж;1;38,73;3/10;Республика Татарстан;Казань;р-н Советский;м. Горки;;8 100 000 ;296717221;6
1-комн. квартира, 30,2 м², 2/9 этаж;1;30,2;2/9;Республика Татарстан;Казань;р-н Вахитовский;мкр. Калуга;м. Суконная слобода;6 800 000 ;299627300;6
1-комн. квартира, 43,52 м², 6/22 этаж;1;43,52;6/22;Республика Татарстан;Казань;р-н Приволжский;мкр. Горки-3;м. Дубравная;9 906 719 ;299732842;6
1-комн. квартира, 45,55 м², 7/26 этаж;1;45,55;7/26;Республика Татарстан;Казань;р-н Авиастроительный;м. Авиастроительная;;13 500 000 ;299297937;6
1-комн. квартира, 52,23 м², 5/28 этаж;1;52,23;5/28;Республика Татарстан;Казань;р-н Ново-Савиновский;м. Козья слобода;;16 885 176 ;291146921;6
1-комн. квартира, 35 м², 7/23 этаж;1;35;7/23;Республика Татарстан;Казань;р-н Советский;мкр. Дербышки;м. Суконная слобода;5 000 000 ;299335325;6
1-комн. квартира, 54,3 м², 6/9 этаж;1;54,3;6/9;Республика Татарстан;Казань;р-н Вахитовский;мкр. Калуга;м. Суконная слобода;13 565 000 ;301483000;6
1-комн. квартира, 56,5 м², 1/5 этаж;1;56,5;1/5;Республика Татарстан;Казань;р-н Приволжский;м. Дубравная;;8 559 000 ;301035561;6
Квартира в ЖК Свобода;1;56,5;1/5;Республика Татарстан;Казань;р-н Ново-Савиновский;;м. Козья слобода;12 300 000 ;298326583;6
1-комн. квартира, 56,04 м², 5/28 этаж;1;56,04;5/28;Республика Татарстан;Казань;р-н Ново-Савиновский;м. Козья слобода;;19 085 263 ;297756773;6
1-комн. квартира, 32 м², 5/5 этаж;1;32;5/5;Республика Татарстан;Казань;р-н Приволжский;м. Суконная слобода;Дальняя улица;5 400 000 ;299335313;6
1-комн. квартира, 41,96 м², 5/5 этаж;1;41,96;5/5;Республика Татарстан;Казань;р-н Вахитовский;мкр. Центр;м. Кремлёвская;15 525 200 ;301834445;6
1-комн. квартира, 36,7 м², 5/25 этаж;1;36,7;5/25;Республика Татарстан;Казань;р-н Ново-Савиновский;м. Козья слобода;улица Четаева;11 010 000 ;300024854;6
1-комн. квартира, 34 м², 3/9 этаж;1;34;3/9;Республика Татарстан;Казань;р-н Авиастроительный;мкр. Свердлова;м. Авиастроительная;3 950 000 ;297846540;6
1-комн. квартира, 41,52 м², 4/4 этаж;1;41,52;4/4;Республика Татарстан;Казань;р-н Вахитовский;мкр. Центр;м. Кремлёвская;16 608 000 ;294966897;6
1-комн. квартира, 27,4 м², 4/20 этаж;1;27,4;4/20;Республика Татарстан;Казань;р-н Приволжский;м. Проспект Победы;улица Ярышлар;4 660 000 ;295124223;6
1-комн. квартира, 25,52 м², 9/19 этаж;1;25,52;9/19;Республика Татарстан;Казань;р-н Приволжский;м. Дубравная;;6 298 000 ;300412332;6
1-комн. квартира, 26,9 м², 9/9 этаж;1;26,9;9/9;Республика Татарстан;Казань;р-н Приволжский;мкр. Горки-1;м. Проспект Победы;5 200 000 ;301541100;6
1-комн. квартира, 41,47 м², 7/10 этаж;1;41,47;7/10;Республика Татарстан;Казань;р-н Советский;мкр. Куба;;11 302 000 ;296115736;6
1-комн. квартира, 38,3 м², 1/10 этаж;1;38,3;1/10;Республика Татарстан;Казань;р-н Советский;мкр. Азино-1;м. Горки;5 899 000 ;290811246;6
1-комн. квартира, 30,6 м², 1/5 этаж;1;30,6;1/5;Республика Татарстан;Казань;р-н Приволжский;м. Дубравная;;7 146 000 ;300838598;6
